#  tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)
1.490000e+00  2.870292e-03  -3.661145e-03  -1.057233e-03  -3.675856e-04  -1.324040e-03  -3.084873e-04  3.540395e-02  -6.431941e-02  3.213052e-02  -6.270465e-02  3.169216e-02  -6.308007e-02  1.698082e-02  2.880826e-02  1.549916e-02  2.946371e-02  1.550781e-02  3.020740e-02
1.505000e+00  2.804561e-03  -3.681302e-03  -9.920017e-04  -3.348290e-04  -1.247298e-03  -2.756314e-04  3.357134e-02  -6.568670e-02  3.031995e-02  -6.405960e-02  2.988521e-02  -6.447157e-02  1.940214e-02  3.007682e-02  1.783944e-02  3.057400e-02  1.783283e-02  3.132744e-02
1.520000e+00  2.757316e-03  -3.722767e-03  -9.366692e-04  -3.419510e-04  -1.184230e-03  -2.841335e-04  3.191674e-02  -6.643532e-02  2.863851e-02  -6.479613e-02  2.819094e-02  -6.521592e-02  2.171505e-02  3.127198e-02  2.002565e-02  3.170446e-02  2.000935e-02  3.245991e-02
1.535000e+00  2.663875e-03  -3.871529e-03  -9.201903e-04  -4.303088e-04  -1.165048e-03  -3.800763e-04  3.010055e-02  -6.797423e-02  2.685170e-02  -6.630085e-02  2.638359e-02  -6.671257e-02  2.376033e-02  3.232351e-02  2.199876e-02  3.272817e-02  2.197340e-02  3.347129e-02
1.550000e+00  2.576462e-03  -4.041734e-03  -8.875408e-04  -5.177205e-04  -1.128079e-03  -4.740034e-04  2.838788e-02  -6.961122e-02  2.518481e-02  -6.790388e-02  2.469734e-02  -6.830177e-02  2.588094e-02  3.278884e-02  2.406289e-02  3.316560e-02  2.403747e-02  3.391715e-02
1.565000e+00  2.485850e-03  -4.203345e-03  -8.600991e-04  -5.924301e-04  -1.097849e-03  -5.528186e-04  2.636396e-02  -7.107177e-02  2.316131e-02  -6.939060e-02  2.264099e-02  -6.976730e-02  2.826702e-02  3.266976e-02  2.639232e-02  3.301175e-02  2.637405e-02  3.377045e-02
1.580000e+00  2.362645e-03  -4.356367e-03  -8.472926e-04  -6.657494e-04  -1.082930e-03  -6.312637e-04  2.381460e-02  -7.300179e-02  2.060248e-02  -7.140429e-02  2.004761e-02  -7.177749e-02  3.077033e-02  3.220787e-02  2.895893e-02  3.248852e-02  2.893199e-02  3.322235e-02
1.595000e+00  2.283012e-03  -4.491264e-03  -7.813409e-04  -7.257049e-04  -1.008629e-03  -6.938974e-04  2.218175e-02  -7.443298e-02  1.897833e-02  -7.289633e-02  1.839686e-02  -7.325451e-02  3.231250e-02  3.230855e-02  3.055307e-02  3.255524e-02  3.052858e-02  3.327210e-02
1.610000e+00  2.214759e-03  -4.659398e-03  -7.189195e-04  -8.111644e-04  -9.390311e-04  -7.829738e-04  2.095310e-02  -7.554277e-02  1.776819e-02  -7.404855e-02  1.715947e-02  -7.436996e-02  3.370602e-02  3.213776e-02  3.193958e-02  3.236366e-02  3.191829e-02  3.306970e-02
1.625000e+00  2.112184e-03  -4.808887e-03  -6.845229e-04  -8.601637e-04  -8.995624e-04  -8.314541e-04  1.934825e-02  -7.598132e-02  1.618523e-02  -7.446314e-02  1.556038e-02  -7.474353e-02  3.622087e-02  3.150270e-02  3.443158e-02  3.169337e-02  3.441684e-02  3.240631e-02
1.640000e+00  1.962700e-03  -4.876159e-03  -6.842518e-04  -8.565169e-04  -8.967484e-04  -8.223685e-04  1.723762e-02  -7.540558e-02  1.405886e-02  -7.380150e-02  1.342276e-02  -7.404073e-02  3.859702e-02  3.168847e-02  3.675522e-02  3.192376e-02  3.676260e-02  3.264459e-02
